sample,noisy_mse,noisy_mae,noisy_psnr,noisy_ssim,stage_one_mse,stage_one_mae,stage_one_psnr,stage_one_ssim,stage_two_mse,stage_two_mae,stage_two_psnr,stage_two_ssim,stage_one_mse_vs_noisy_percent,stage_two_mse_vs_noisy_percent,stage_two_mse_vs_stage_one_percent,stage_one_mae_vs_noisy_percent,stage_two_mae_vs_noisy_percent,stage_two_mae_vs_stage_one_percent,stage_one_psnr_vs_noisy,stage_two_psnr_vs_noisy,stage_two_psnr_vs_stage_one,stage_one_ssim_vs_noisy,stage_two_ssim_vs_noisy,stage_two_ssim_vs_stage_one
tile_0041,0.028597597989754444,0.13094134579635638,15.436704432207478,0.19802731275558472,0.0028491855826541916,0.03920773784153653,25.45279261923134,0.6418402791023254,0.0028041600646588794,0.03903546312152173,25.521971999728336,0.6413434147834778,90.03697588981089,90.19442099415652,1.580294322329406,70.0570223995456,70.18858872717655,0.439389593735476,10.016088187023861,10.085267567520859,0.06917938049699757,0.4438129663467407,0.44331610202789307,-0.0004968643188476562
tile_0042,0.025822479491117187,0.11698364837473905,15.880020588314284,0.14666931331157684,0.002087697011112029,0.033235120292456934,26.803325305501748,0.6152833104133606,0.0020515890076081337,0.03331771821848939,26.879096365452195,0.6118784546852112,91.91519539465531,92.05502706154198,1.7295614886502264,71.58994376206034,71.5193373763133,-0.24852603302056436,10.923304717187463,10.99907577713791,0.07577105995044775,0.46861399710178375,0.46520914137363434,-0.003404855728149414
tile_0043,0.02358597748078205,0.10619120021397059,16.27346120448042,0.20309990644454956,0.001834411064902376,0.025106042987057247,27.3650333866868,0.8190342783927917,0.0018220540162677415,0.02533729569293423,27.394387521603424,0.8088350892066956,92.22245053698936,92.27484204225856,0.6736248418394752,76.35769919120446,76.13992906956443,-0.9211037597450116,11.09157218220638,11.120926317123004,0.02935413491662331,0.6159343719482422,0.605735182762146,-0.010199189186096191
tile_0044,0.02674965948960946,0.12372386275601836,15.72681741968916,0.19743071496486664,0.002157583725781516,0.03134469478106894,26.660323423384153,0.8234042525291443,0.0021391755592763593,0.030787423139239916,26.697535719987172,0.8233527541160583,91.93416377274036,92.00298022445,0.8531843415943832,74.66560283291493,75.11601848387787,1.7778818575882063,10.933506003694992,10.970718300298012,0.03721229660301972,0.6259735375642776,0.6259220391511917,-5.14984130859375e-05
tile_0045,0.03323575388962507,0.14587755358218146,14.783944656369211,0.3024972677230835,0.0038304404543974438,0.04818733252526878,24.167512845389293,0.6608327627182007,0.0038312516838956297,0.04814119230286451,24.166593172581834,0.6607850790023804,88.47494036958446,88.47249953583392,-0.02117849129477095,66.96727403087274,66.99890344970467,0.0957517670854127,9.383568189020082,9.382648516212623,-0.0009196728074591931,0.3583354949951172,0.3582878112792969,-4.76837158203125e-05
tile_0046,0.023978648410870138,0.11114055979505627,16.20175300146418,0.18200372159481049,0.001561146200304228,0.025764140799613717,28.06556423643411,0.8076767921447754,0.0015553564951879307,0.02600476159162805,28.081700528439622,0.802837073802948,93.48943204156362,93.51357729369414,0.37086245446897165,76.81841728427236,76.60191595257307,-0.933936799545594,11.86381123496993,11.879947526975442,0.016136292005512587,0.6256730705499649,0.6208333522081375,-0.004839718341827393
tile_0047,0.030991633649919217,0.13974494429079934,15.08755530361377,0.3825047016143799,0.004127160341396957,0.047843184950570126,23.843486583260677,0.7717626690864563,0.004104565205625028,0.04760200689109221,23.867328406879572,0.7720580101013184,86.68298551790697,86.75589272901809,0.5474741445175038,65.76392427406043,65.936508735489,0.5041011791482817,8.755931279646907,8.779773103265802,0.023841823618894864,0.3892579674720764,0.3895533084869385,0.00029534101486206055
tile_0048,0.03310288031733399,0.14529411100621678,14.801342161487113,0.4167989194393158,0.005018296089604967,0.054864908445011906,22.994437180138405,0.7318803668022156,0.004996079824568561,0.054719078688037825,23.01370631328187,0.7318752408027649,84.84030379985639,84.90741658528,0.44270534539453804,62.23872525524151,62.33909391847511,0.2657978680858238,8.193095018651292,8.212364151794755,0.01926913314346379,0.3150814473628998,0.3150763213634491,-5.125999450683594e-06
tile_0049,0.02604895983941301,0.11719504653716677,15.842096138240434,0.23240041732788086,0.002501536233417168,0.03421021836768645,26.017932022112447,0.7504148483276367,0.0025148658770012444,0.034649171361667896,25.994851718134196,0.7447171211242676,90.39679031777594,90.34561881739262,-0.5328583054688699,70.80916013217575,70.43461103052731,-1.2831049169684983,10.175835883872013,10.152755579893762,-0.023080303978250782,0.5180144309997559,0.5123167037963867,-0.005697727203369141
tile_0050,0.03249568050950683,0.14276466777928967,14.88174363807569,0.4769240915775299,0.005088641003226479,0.05420862382612294,22.933981869371323,0.8176876902580261,0.0050758797796388215,0.05423977179518621,22.944886725619206,0.8172147870063782,84.34056181178369,84.37983233447338,0.250778618094021,62.02938397200069,62.00756627050088,-0.05745943516879918,8.052238231295632,8.063143087543516,0.010904856247883288,0.3407635986804962,0.34029069542884827,-0.0004729032516479492
tile_0051,0.03040333410310149,0.13539290423990827,15.170787879971169,0.4759434461593628,0.005740927582469767,0.056817435575275965,22.410179313996053,0.7770830988883972,0.005747105587958791,0.05719157938620848,22.40550823773452,0.7757747769355774,81.11744072869914,81.0971205708241,-0.10761336735702698,58.03514527275462,57.75880596750598,-0.6585017559210717,7.239391434024885,7.234720357763351,-0.004671076261534068,0.3011396527290344,0.2998313307762146,-0.0013083219528198242
tile_0052,0.026939401915378223,0.12302024554835596,15.696120503255141,0.1898077130317688,0.0021578167286754654,0.03315231518276581,26.659854443171188,0.7278464436531067,0.0021673240374858013,0.03351455371858473,26.640761522836144,0.7228429913520813,91.99010900296311,91.95481754088759,-0.44059853109823044,73.0513339206964,72.75687951264001,-1.0926492880570438,10.963733939916047,10.944641019581002,-0.019092920335044283,0.5380387306213379,0.5330352783203125,-0.005003452301025391
